sample_id,case_id,field_name,field_class,declared_type,selection_probability,raw_exact,normalized_exact,token_set_exact,all_null,all_nonnull,mixed_null,null_pattern,adjacent_null_transitions,min_pairwise_lexical_similarity,min_pairwise_nonnull_lexical_similarity,lexical_at_least_70,lexical_at_least_80,lexical_at_least_90
EXT-02-2129103436b8,2,country,categorical,categorical,0.1515151515151515,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-02-46fc406a6ab2,2,outcome,categorical,categorical,0.0343642611683848,False,False,False,False,True,False,VVV,0,0.6206896551724138,0.6206896551724138,False,False,False
EXT-02-52c29dd15375,2,intervention,categorical,categorical,0.0343642611683848,False,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-02-80c57fb772f7,2,ci_lower,potentially_synthesis_critical,numeric,0.0636942675159235,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-02-8f70af6699e9,2,sample_size,potentially_synthesis_critical,numeric,0.078125,False,False,False,False,True,False,VVV,0,0.20689655172413793,0.20689655172413793,False,False,False
EXT-02-954b3d790b91,2,ci_upper,potentially_synthesis_critical,numeric,0.0636942675159235,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-02-cd58cc5a4348,2,outcome,categorical,categorical,0.0343642611683848,False,False,False,False,True,False,VVV,0,0.9148580968280468,0.9148580968280468,True,True,True
EXT-02-fba15fa47f9a,2,country,categorical,categorical,0.1515151515151515,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-02-fd3ed22c8a46,2,country,categorical,categorical,0.1515151515151515,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-02-fe951dbb9109,2,ci_lower,potentially_synthesis_critical,numeric,0.0636942675159235,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-03-01a9cb7284c9,3,sample_size,potentially_synthesis_critical,numeric,0.6666666666666666,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-03-0395076d83df,3,drug,categorical,categorical,0.4166666666666667,False,False,False,False,True,False,VVV,0,0.7272727272727273,0.7272727272727273,True,False,False
EXT-03-0aed91fae3f9,3,drug,categorical,categorical,1.0,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-03-0ffcb0ef0cdf,3,follow_up_years,other_numeric,numeric,0.0354609929078014,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-03-2c463888b2fa,3,drug,categorical,categorical,1.0,False,False,False,False,True,False,VVV,0,0.8151815181518152,0.8151815181518152,True,True,False
EXT-03-3371d815fb4c,3,sample_size,potentially_synthesis_critical,numeric,0.0060901339829476,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-03-3815dc5193a4,3,study_design,categorical,categorical,0.0040016006402561,False,False,False,False,True,False,VVV,0,0.47337278106508873,0.47337278106508873,False,False,False
EXT-03-416674a813bf,3,hazard_ratio,potentially_synthesis_critical,numeric,0.9090909090909092,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-03-4556112b615b,3,ci_lower,potentially_synthesis_critical,numeric,0.6666666666666666,False,False,False,False,True,False,VVV,0,0.36363636363636365,0.36363636363636365,False,False,False
EXT-03-511cc5a928b5,3,ci_lower,potentially_synthesis_critical,numeric,0.0060901339829476,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-03-6123a5b6bcd3,3,ci_upper,potentially_synthesis_critical,numeric,0.6666666666666666,False,False,False,False,True,False,VVV,0,0.09302325581395349,0.09302325581395349,False,False,False
EXT-03-687a1bdc2d26,3,follow_up_years,other_numeric,numeric,0.0190114068441064,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-03-6f31e497f313,3,drug,categorical,categorical,1.0,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-03-74aaf5f1d00a,3,sample_size,potentially_synthesis_critical,numeric,0.6666666666666666,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-03-75a97af99a58,3,sample_size,potentially_synthesis_critical,numeric,0.5263157894736842,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-03-7da72ad6c81a,3,sample_size,potentially_synthesis_critical,numeric,0.6666666666666666,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-03-905c9db636a2,3,follow_up_years,other_numeric,numeric,0.0190114068441064,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-03-9212eda1b6ab,3,sample_size,potentially_synthesis_critical,numeric,0.5263157894736842,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-03-952a7220fb78,3,follow_up_years,other_numeric,numeric,1.0,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-03-996328e92301,3,follow_up_years,other_numeric,numeric,0.4347826086956521,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-03-a24f3b902011,3,follow_up_years,other_numeric,numeric,1.0,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-03-a2ad92ccfd2d,3,follow_up_years,other_numeric,numeric,0.4347826086956521,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-03-a966c137afcc,3,hazard_ratio,potentially_synthesis_critical,numeric,1.0,False,False,False,False,False,True,NVN,2,0.0,,False,False,False
EXT-03-b12e96d27575,3,country,categorical,categorical,0.0120048019207683,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-03-b8546f9becfc,3,follow_up_years,other_numeric,numeric,1.0,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-03-bc690ed51bd1,3,follow_up_years,other_numeric,numeric,0.0354609929078014,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-03-c19c7dbae355,3,ci_lower,potentially_synthesis_critical,numeric,0.0059665871121718,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-03-c1e9749d1431,3,ci_upper,potentially_synthesis_critical,numeric,0.9090909090909092,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-03-c698d92d6890,3,follow_up_years,other_numeric,numeric,0.0354609929078014,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-03-d347430ed50e,3,country,categorical,categorical,0.0120048019207683,False,False,False,False,False,True,VNN,1,0.0,,False,False,False
EXT-03-d361f499e4a9,3,follow_up_years,other_numeric,numeric,1.0,False,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-03-d71666b67610,3,ci_upper,potentially_synthesis_critical,numeric,0.0060901339829476,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-03-d93cbeb3ad18,3,hazard_ratio,potentially_synthesis_critical,numeric,0.0059665871121718,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-03-e0b6682b4065,3,country,categorical,categorical,0.0120048019207683,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-03-e76d263258dd,3,hazard_ratio,potentially_synthesis_critical,numeric,0.6666666666666666,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-03-e85051d5d730,3,study_design,categorical,categorical,0.0040016006402561,False,False,False,False,True,False,VVV,0,0.5217391304347826,0.5217391304347826,False,False,False
EXT-03-e92cb1d6a948,3,follow_up_years,other_numeric,numeric,0.4347826086956521,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-03-e994df94c0e6,3,study_design,categorical,categorical,0.4166666666666667,False,False,True,False,True,False,VVV,0,0.6617647058823529,0.6617647058823529,False,False,False
EXT-03-f8eead658f33,3,sample_size,potentially_synthesis_critical,numeric,0.6666666666666666,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-03-fa3a129f572b,3,follow_up_years,other_numeric,numeric,1.0,False,False,False,False,True,False,VVV,0,0.75,0.75,True,False,False
EXT-04-08fb77f68ac9,4,study_design,categorical,categorical,0.0840336134453781,False,False,False,False,True,False,VVV,0,0.7558139534883721,0.7558139534883721,True,False,False
EXT-04-0927c242c615,4,sample_size,potentially_synthesis_critical,numeric,0.001978630787495,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-04-09d0594e9d04,4,study_design,categorical,categorical,0.0076982294072363,False,False,False,False,True,False,VVV,0,0.5378151260504201,0.5378151260504201,False,False,False
EXT-04-152ad96fc064,4,auc,potentially_synthesis_critical,numeric,0.3846153846153846,False,False,False,False,True,False,VVV,0,0.918918918918919,0.918918918918919,True,True,True
EXT-04-2c76d2e8b830,4,auc,potentially_synthesis_critical,numeric,0.0396825396825396,False,False,False,False,True,False,VVV,0,0.35714285714285715,0.35714285714285715,False,False,False
EXT-04-310eeddfd082,4,ai_model_type,categorical,categorical,0.001206127125799,False,False,False,False,True,False,VVV,0,0.7630522088353414,0.7630522088353414,True,False,False
EXT-04-323adbfdb612,4,imaging_modality,categorical,categorical,1.0,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-04-39f3d9934a7c,4,imaging_modality,categorical,categorical,1.0,False,False,False,False,False,True,VVN,1,0.0,0.8860759493670886,False,False,False
EXT-04-3d418d77d008,4,study_design,categorical,categorical,0.0840336134453781,False,False,False,False,True,False,VVV,0,0.8461538461538461,0.8461538461538461,True,True,False
EXT-04-46e3ad3d3b31,4,ai_model_type,categorical,categorical,0.001206127125799,False,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-04-49a224d22bc8,4,study_design,categorical,categorical,0.1724137931034483,False,False,False,False,True,False,VVV,0,0.6521739130434783,0.6521739130434783,False,False,False
EXT-04-5bd55c2db886,4,specificity,potentially_synthesis_critical,numeric,1.0,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-04-5e75890e4f22,4,sample_size,potentially_synthesis_critical,numeric,0.001978630787495,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-04-74e692ba4583,4,study_design,categorical,categorical,0.0076982294072363,False,False,False,False,True,False,VVV,0,0.4157303370786517,0.4157303370786517,False,False,False
EXT-04-75c7b4e5ad53,4,auc,potentially_synthesis_critical,numeric,0.0022542831379621,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-04-797362e3c264,4,auc,potentially_synthesis_critical,numeric,0.3846153846153846,False,False,False,False,True,False,VVV,0,0.88,0.88,True,True,False
EXT-04-8017700eb531,4,study_design,categorical,categorical,0.0076982294072363,False,False,False,False,True,False,VVV,0,0.2708333333333333,0.2708333333333333,False,False,False
EXT-04-8aefa4c7146a,4,auc,potentially_synthesis_critical,numeric,1.0,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-04-998a3ac8cef0,4,study_design,categorical,categorical,0.0840336134453781,False,False,False,False,True,False,VVV,0,0.609375,0.609375,False,False,False
EXT-04-9b9d5e6abd7f,4,specificity,potentially_synthesis_critical,numeric,1.0,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-04-a22d04483be3,4,imaging_modality,categorical,categorical,1.0,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-04-a53a27c3a390,4,sensitivity,potentially_synthesis_critical,numeric,0.001978630787495,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-04-a7e85f15d5de,4,specificity,potentially_synthesis_critical,numeric,1.0,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-04-b481b5181859,4,sensitivity,potentially_synthesis_critical,numeric,0.001978630787495,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-04-b4f9ff10b33a,4,imaging_modality,categorical,categorical,1.0,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-04-b6ad8c86d58f,4,specificity,potentially_synthesis_critical,numeric,0.3846153846153846,False,False,False,False,False,True,NNV,1,0.0,,False,False,False
EXT-04-b6fb0a4f1e3a,4,auc,potentially_synthesis_critical,numeric,0.3846153846153846,False,False,False,False,True,False,VVV,0,0.42105263157894735,0.42105263157894735,False,False,False
EXT-04-b9613c15090e,4,auc,potentially_synthesis_critical,numeric,0.0396825396825396,False,False,False,False,True,False,VVV,0,0.9032258064516129,0.9032258064516129,True,True,True
EXT-04-ce324f7330ec,4,auc,potentially_synthesis_critical,numeric,1.0,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-04-d065628e8133,4,task,categorical,categorical,0.1724137931034483,False,False,False,False,True,False,VVV,0,0.8105263157894737,0.8105263157894737,True,True,False
EXT-04-d43c2d3b09bf,4,study_design,categorical,categorical,0.0076982294072363,False,False,False,False,True,False,VVV,0,0.3132530120481928,0.3132530120481928,False,False,False
EXT-04-d5dcf9052ad5,4,imaging_modality,categorical,categorical,0.1724137931034483,False,False,False,False,True,False,VVV,0,0.43902439024390244,0.43902439024390244,False,False,False
EXT-04-e1ab37341e56,4,auc,potentially_synthesis_critical,numeric,0.0396825396825396,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-04-e5695d5ff84b,4,auc,potentially_synthesis_critical,numeric,0.3846153846153846,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-04-e57014208fe7,4,imaging_modality,categorical,categorical,1.0,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-04-e950b319e821,4,study_design,categorical,categorical,0.0076982294072363,False,False,False,False,True,False,VVV,0,0.5402843601895735,0.5402843601895735,False,False,False
EXT-04-f3f150bd4d8e,4,imaging_modality,categorical,categorical,1.0,False,False,False,False,False,True,VNN,1,0.0,,False,False,False
EXT-04-f9c32ee363c5,4,study_design,categorical,categorical,0.0840336134453781,False,False,False,False,True,False,VVV,0,0.5647058823529412,0.5647058823529412,False,False,False
EXT-05-02b9ad7f99ec,5,study_design,categorical,categorical,0.0840336134453781,False,False,False,False,False,True,NVN,2,0.0,,False,False,False
EXT-05-18ec989334c2,5,ci_lower,potentially_synthesis_critical,numeric,0.0059630292188431,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-05-1f69a3fc7676,5,outcome,categorical,categorical,1.0,False,False,False,False,True,False,VVV,0,0.9032258064516129,0.9032258064516129,True,True,True
EXT-05-2396170d23fc,5,sample_size,potentially_synthesis_critical,numeric,1.0,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-05-244fbbc6839c,5,programme,categorical,categorical,0.0057339449541284,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-05-441c3deeedc7,5,programme,categorical,categorical,0.0057339449541284,False,False,False,False,True,False,VVV,0,0.6451612903225806,0.6451612903225806,False,False,False
EXT-05-4dbf23906104,5,effect_size,potentially_synthesis_critical,numeric,1.0,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-05-5820ab3be0b8,5,programme,categorical,categorical,1.0,False,False,False,False,True,False,VVV,0,0.23333333333333334,0.23333333333333334,False,False,False
EXT-05-68430b2e7c32,5,sample_size,potentially_synthesis_critical,numeric,0.0518134715025906,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-05-694aebc6fb78,5,sample_size,potentially_synthesis_critical,numeric,1.0,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-05-6d017cb0d2f3,5,study_design,categorical,categorical,1.0,False,False,False,False,True,False,VVV,0,0.6494845360824743,0.6494845360824743,False,False,False
EXT-05-6e3e7f2a2f10,5,ci_lower,potentially_synthesis_critical,numeric,0.0518134715025906,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-05-6fdb150ab941,5,effect_size,potentially_synthesis_critical,numeric,0.0059630292188431,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-05-7b5c8eed08ac,5,effect_size,potentially_synthesis_critical,numeric,0.0518134715025906,False,False,False,False,True,False,VVV,0,0.8,0.8,True,True,False
EXT-05-7e15f192e386,5,sample_size,potentially_synthesis_critical,numeric,0.0059630292188431,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-05-8831ecc61e3e,5,study_design,categorical,categorical,0.0840336134453781,False,False,False,False,True,False,VVV,0,0.5189873417721519,0.5189873417721519,False,False,False
EXT-05-a87e338997f9,5,study_design,categorical,categorical,0.0057339449541284,False,False,False,False,True,False,VVV,0,0.4507042253521127,0.4507042253521127,False,False,False
EXT-05-b76c259f0d5c,5,sample_size,potentially_synthesis_critical,numeric,0.0518134715025906,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-05-d6f9f4c32598,5,ci_upper,potentially_synthesis_critical,numeric,0.0518134715025906,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-05-e4501ffb93fa,5,outcome,categorical,categorical,1.0,False,False,False,False,True,False,VVV,0,0.5354330708661418,0.5354330708661418,False,False,False
EXT-05-e78e614068e1,5,country,categorical,categorical,0.0840336134453781,False,False,False,False,False,True,NVV,1,0.0,1.0,False,False,False
EXT-05-f9bfe0b95a07,5,country,categorical,categorical,1.0,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-05-fc91c259dd10,5,ci_lower,potentially_synthesis_critical,numeric,0.0059630292188431,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-06-1d233be8ea42,6,sample_size,potentially_synthesis_critical,numeric,1.0,False,False,False,False,True,False,VVV,0,0.0,0.0,False,False,False
EXT-06-2db25c8bb412,6,outcome,categorical,categorical,0.0040916530278232,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-06-3a96c50e327e,6,study_design,categorical,categorical,0.217391304347826,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-06-3cd6ea7118fd,6,ci_lower,potentially_synthesis_critical,numeric,0.0128040973111395,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-06-4703f98477d9,6,ci_lower,potentially_synthesis_critical,numeric,1.0,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-06-5c903d300ffa,6,sample_size,potentially_synthesis_critical,numeric,0.0128040973111395,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-06-5d2087418c99,6,platform,categorical,categorical,0.3703703703703703,False,False,False,False,True,False,VVV,0,0.84,0.84,True,True,False
EXT-06-620a8e475878,6,platform,categorical,categorical,0.025,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-06-67e87c1a46ac,6,age_group,categorical,categorical,0.3703703703703703,False,False,False,False,True,False,VVV,0,0.8461538461538461,0.8461538461538461,True,True,False
EXT-06-68c0dfc0be26,6,platform,categorical,categorical,0.3703703703703703,False,False,False,False,True,False,VVV,0,0.7524752475247525,0.7524752475247525,True,False,False
EXT-06-6f020cee8292,6,ci_upper,potentially_synthesis_critical,numeric,0.0064724919093851,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-06-7528ed36aea0,6,country,categorical,categorical,0.0040916530278232,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-06-7b4043c6ad89,6,ci_lower,potentially_synthesis_critical,numeric,0.0064724919093851,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-06-839d3b5abf4a,6,ci_lower,potentially_synthesis_critical,numeric,0.0128040973111395,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-06-89f897b6c350,6,study_design,categorical,categorical,0.217391304347826,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-06-9fc3ae002429,6,outcome,categorical,categorical,0.0040916530278232,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-06-a424e9aa6b37,6,ci_upper,potentially_synthesis_critical,numeric,0.0064724919093851,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-06-c5046c35f1c1,6,country,categorical,categorical,0.025,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-06-cfd084389dc1,6,platform,categorical,categorical,0.3703703703703703,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-06-e1976a0accda,6,age_group,categorical,categorical,0.3703703703703703,False,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-07-05296fa6662c,7,recidivism_rate_treatment,potentially_synthesis_critical,numeric,0.0531914893617021,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-07-167f3ad9e708,7,sample_size,potentially_synthesis_critical,numeric,0.238095238095238,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-07-2b9f3517a9b9,7,sample_size,potentially_synthesis_critical,numeric,0.238095238095238,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-07-47b793b956cd,7,sample_size,potentially_synthesis_critical,numeric,0.238095238095238,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-07-612d3b4c739b,7,recidivism_rate_treatment,potentially_synthesis_critical,numeric,0.238095238095238,False,False,False,False,True,False,VVV,0,0.8,0.8,True,True,False
EXT-07-617056d489da,7,country,categorical,categorical,1.0,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-07-684ad565297c,7,country,categorical,categorical,0.0396825396825396,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-07-6f441aca3027,7,follow_up_months,other_numeric,numeric,0.4347826086956521,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-07-8d142e3f52b0,7,outcome,categorical,categorical,1.0,False,False,False,False,True,False,VVV,0,0.24242424242424243,0.24242424242424243,False,False,False
EXT-07-9d256c233083,7,sample_size,potentially_synthesis_critical,numeric,0.238095238095238,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-07-a05dec363006,7,recidivism_rate_control,potentially_synthesis_critical,numeric,0.0531914893617021,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-07-a582f45d1759,7,recidivism_rate_treatment,potentially_synthesis_critical,numeric,0.0531914893617021,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-07-c15fe9c55253,7,follow_up_months,other_numeric,numeric,0.1886792452830188,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-07-cf1fdf987616,7,follow_up_months,other_numeric,numeric,0.1886792452830188,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-07-d95ac826bd7c,7,study_design,categorical,categorical,0.1886792452830188,False,False,False,False,True,False,VVV,0,0.7441860465116279,0.7441860465116279,True,False,False
EXT-07-e8935ce627e3,7,follow_up_months,other_numeric,numeric,0.4347826086956521,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-07-ef2ab604e3f3,7,country,categorical,categorical,0.0396825396825396,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-07-f86ab4ecb079,7,follow_up_months,other_numeric,numeric,0.1886792452830188,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-07-fd0246db9354,7,study_design,categorical,categorical,0.1886792452830188,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-08-0403aabbd690,8,year,other_numeric,numeric,0.0578034682080924,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-08-0661122c8f18,8,gap_percent,potentially_synthesis_critical,numeric,1.0,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-08-128c043c7510,8,country,categorical,categorical,0.3448275862068966,False,False,False,False,False,True,NNV,1,0.0,,False,False,False
EXT-08-176ad75497e6,8,year,other_numeric,numeric,0.8333333333333334,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-08-1773230962a1,8,study_design,categorical,categorical,0.028735632183908,False,False,False,False,True,False,VVV,0,0.5066666666666667,0.5066666666666667,False,False,False
EXT-08-27beb7121ac0,8,year,other_numeric,numeric,0.8333333333333334,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-08-289c5c2b8fbe,8,gap_percent,potentially_synthesis_critical,numeric,0.1470588235294117,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-08-2c21409a6c07,8,country,categorical,categorical,0.3448275862068966,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-08-2c3ee8f1a744,8,country,categorical,categorical,0.6666666666666666,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-08-362c635b55e3,8,gap_measure,categorical,categorical,0.0120192307692307,False,False,False,False,True,False,VVV,0,0.7407407407407407,0.7407407407407407,True,False,False
EXT-08-3b971226cd11,8,country,categorical,categorical,0.3448275862068966,False,False,False,False,False,True,NNV,1,0.0,,False,False,False
EXT-08-41c270b428cf,8,year,other_numeric,numeric,0.0862068965517241,False,False,False,False,False,True,VNV,2,0.0,0.6153846153846154,False,False,False
EXT-08-4570fbe12d14,8,country,categorical,categorical,0.0120192307692307,False,False,False,False,False,True,NNV,1,0.0,,False,False,False
EXT-08-47c67df9f969,8,gap_percent,potentially_synthesis_critical,numeric,1.0,False,False,False,False,True,False,VVV,0,0.75,0.75,True,False,False
EXT-08-49a4c37d57df,8,gap_percent,potentially_synthesis_critical,numeric,0.018348623853211,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
