task,sample_id,call_status,repeat_index,output_value
extraction,EXT-01-83b7f91fb02b,ok,2,"""Overstaffing versus understaffing (different nurse-to-patient ratios)"""
extraction,EXT-01-83b7f91fb02b,ok,3,"""Overstaffing versus Understaffing (different nurse-to-patient ratios)"""
extraction,EXT-01-930e194a7cab,ok,1,"""Population-based, cross-sectional, multicenter study"""
extraction,EXT-01-930e194a7cab,ok,2,"""Population-based, cross-sectional, multicenter study"""
extraction,EXT-01-930e194a7cab,ok,3,"""Population-based cross-sectional multicenter study"""
extraction,EXT-01-be33396abce8,ok,1,"""Cross-sectional observational study (survey)"""
extraction,EXT-01-be33396abce8,ok,2,"""Cross-sectional observational study"""
extraction,EXT-01-be33396abce8,ok,3,"""Cross-sectional study"""
extraction,EXT-01-c90084204630,ok,1,"""Nurse staffing (bed-to-nurse ratio: <2.5 vs ≥4.5) and nurse turnover rate (<12% vs ≥12%)"""
extraction,EXT-01-c90084204630,ok,2,"""Nurse staffing (bed-to-nurse ratio: <2.5 vs ≥4.5) and nurse turnover rate (<12% vs ≥12%)"""
extraction,EXT-01-c90084204630,ok,3,"""Nurse staffing (bed-to-nurse ratio categories: <2.5 vs ≥4.5) and nurse turnover rate (≥12% vs <12%)"""
extraction,EXT-01-dea01b31ef80,ok,1,null
extraction,EXT-01-dea01b31ef80,ok,2,null
extraction,EXT-01-dea01b31ef80,ok,3,null
extraction,EXT-01-e3532b460812,ok,1,null
extraction,EXT-01-e3532b460812,ok,2,null
extraction,EXT-01-e3532b460812,ok,3,null
extraction,EXT-01-e8ff500847c7,ok,1,null
extraction,EXT-01-e8ff500847c7,ok,2,null
extraction,EXT-01-e8ff500847c7,ok,3,null
extraction,EXT-01-ed5aa669382f,ok,1,"""Canada"""
extraction,EXT-01-ed5aa669382f,ok,2,"""Canada"""
extraction,EXT-01-ed5aa669382f,ok,3,"""Canada"""
extraction,EXT-01-f3a986476ff8,ok,1,183085.0
extraction,EXT-01-f3a986476ff8,ok,2,183085.0
extraction,EXT-01-f3a986476ff8,ok,3,183085.0
extraction,EXT-02-15ec72e1a207,ok,1,"""0.42-1.65"""
extraction,EXT-02-15ec72e1a207,ok,2,"""0.42-1.65"""
extraction,EXT-02-15ec72e1a207,ok,3,"""0.42-1.65"""
extraction,EXT-02-2129103436b8,ok,1,null
extraction,EXT-02-2129103436b8,ok,2,null
extraction,EXT-02-2129103436b8,ok,3,null
extraction,EXT-02-46fc406a6ab2,ok,1,"""Depression; Anxiety"""
extraction,EXT-02-46fc406a6ab2,ok,2,"""Depression; Anxiety"""
extraction,EXT-02-46fc406a6ab2,ok,3,"""Depression and anxiety (symptom reduction)"""
extraction,EXT-02-52c29dd15375,ok,1,"""mindfulness-based therapy"""
extraction,EXT-02-52c29dd15375,ok,2,"""Mindfulness-based therapy"""
extraction,EXT-02-52c29dd15375,ok,3,"""mindfulness-based therapy"""
extraction,EXT-02-80c57fb772f7,ok,1,null
extraction,EXT-02-80c57fb772f7,ok,2,null
extraction,EXT-02-80c57fb772f7,ok,3,null
extraction,EXT-02-8f70af6699e9,ok,1,14073.0
extraction,EXT-02-8f70af6699e9,ok,2,"""63 (Study 1); 14010 (Study 2)"""
extraction,EXT-02-8f70af6699e9,ok,3,14073.0
extraction,EXT-02-954b3d790b91,ok,1,null
extraction,EXT-02-954b3d790b91,ok,2,null
extraction,EXT-02-954b3d790b91,ok,3,null
extraction,EXT-02-cd58cc5a4348,ok,1,"""Self-reported anxiety (Beck Anxiety Inventory); avoidance (Fear Questionnaire); difficulties in emotion regulation (Difficulties in Emotion Regulation Strategies); worry (Penn State Worry Questionnaire); mindfulness skills (Five Facet Mindfulness Questionnaire); rumination (Rumination on Sadness Scales)."""
extraction,EXT-02-cd58cc5a4348,ok,2,"""Anxiety (Beck Anxiety Inventory); Avoidance (Fear Questionnaire); Difficulties in emotion regulation (Difficulties in Emotion Regulation Strategies); Worry (Penn State Worry Questionnaire); Mindfulness skills (Five Facet Mindfulness Questionnaire); Rumination (Rumination on Sadness Scales)"""
extraction,EXT-02-cd58cc5a4348,ok,3,"""Anxiety (Beck Anxiety Inventory); avoidance (Fear Questionnaire); difficulties in emotion regulation (Difficulties in Emotion Regulation Strategies); worry (Penn State Worry Questionnaire); mindfulness skills (Five Facet Mindfulness Questionnaire); rumination (Rumination on Sadness Scales); treatment gains at 6-month follow-up"""
extraction,EXT-02-fba15fa47f9a,ok,1,null
extraction,EXT-02-fba15fa47f9a,ok,2,null
extraction,EXT-02-fba15fa47f9a,ok,3,null
extraction,EXT-02-fd3ed22c8a46,ok,1,null
extraction,EXT-02-fd3ed22c8a46,ok,2,null
extraction,EXT-02-fd3ed22c8a46,ok,3,null
extraction,EXT-02-fe951dbb9109,ok,1,null
extraction,EXT-02-fe951dbb9109,ok,2,null
extraction,EXT-02-fe951dbb9109,ok,3,null
extraction,EXT-03-01a9cb7284c9,ok,1,null
extraction,EXT-03-01a9cb7284c9,ok,2,null
extraction,EXT-03-01a9cb7284c9,ok,3,null
extraction,EXT-03-0395076d83df,ok,1,"""SGLT-2 inhibitors; GLP-1 analogue"""
extraction,EXT-03-0395076d83df,ok,2,"""SGLT-2 inhibitors; GLP-1 analogue (GLP-1 receptor agonists)"""
extraction,EXT-03-0395076d83df,ok,3,"""SGLT-2 inhibitors, GLP-1 analogues"""
extraction,EXT-03-0aed91fae3f9,ok,1,null
extraction,EXT-03-0aed91fae3f9,ok,2,null
extraction,EXT-03-0aed91fae3f9,ok,3,null
extraction,EXT-03-0ffcb0ef0cdf,ok,1,1.0
extraction,EXT-03-0ffcb0ef0cdf,ok,2,1.0
extraction,EXT-03-0ffcb0ef0cdf,ok,3,1.0
extraction,EXT-03-2c463888b2fa,ok,1,"""ACE inhibitors (ACEi); Angiotensin II receptor blockers (ARB); SGLT-2 inhibitors; nonsteroidal mineralocorticoid receptor antagonists (e.g., finerenone); steroidal mineralocorticoid receptor antagonists; low-dose aspirin; statins; GLP-1 receptor agonists (long-acting); metformin; renin inhibitors; ketoanalogues"""
extraction,EXT-03-2c463888b2fa,ok,2,"""Angiotensin Converting Enzyme Inhibitors (ACEi), Angiotensin II Receptor Blockers (ARB), SGLT-2 inhibitors, finerenone (nonsteroidal mineralocorticoid receptor antagonist), steroidal mineralocorticoid receptor antagonists, metformin, long-acting GLP-1 receptor agonists, low-dose aspirin, statins, renin inhibitors, ketoanalogues"""
extraction,EXT-03-2c463888b2fa,ok,3,"""Angiotensin Converting Enzyme Inhibitors (ACEi), Angiotensin II Receptor Blockers (ARB), renin inhibitors, SGLT-2 inhibitors, nonsteroidal mineralocorticoid receptor antagonists (e.g., finerenone), steroidal mineralocorticoid receptor antagonists, aspirin (low-dose), statins, long-acting GLP-1 receptor agonists, metformin, ketoanalogues"""
extraction,EXT-03-3371d815fb4c,ok,1,3195.0
extraction,EXT-03-3371d815fb4c,ok,2,3195.0
extraction,EXT-03-3371d815fb4c,ok,3,3195.0
extraction,EXT-03-3815dc5193a4,ok,1,"""Retrospective observational cohort study (two database cohort analyses)"""
extraction,EXT-03-3815dc5193a4,ok,2,"""Observational cohort study (retrospective database cohort analyses)"""
extraction,EXT-03-3815dc5193a4,ok,3,"""Two observational cohort analyses (retrospective cohort studies using administrative claims databases)"""
extraction,EXT-03-416674a813bf,ok,1,null
extraction,EXT-03-416674a813bf,ok,2,null
extraction,EXT-03-416674a813bf,ok,3,null
extraction,EXT-03-4556112b615b,ok,1,-14.0
extraction,EXT-03-4556112b615b,ok,2,-14.0
extraction,EXT-03-4556112b615b,ok,3,"""-14; 6; 1; -3"""
extraction,EXT-03-511cc5a928b5,ok,1,0.93
extraction,EXT-03-511cc5a928b5,ok,2,0.93
extraction,EXT-03-511cc5a928b5,ok,3,0.93
extraction,EXT-03-6123a5b6bcd3,ok,1,"""14; 34; 15; 26"""
extraction,EXT-03-6123a5b6bcd3,ok,2,"""ELIXA: 14; LEADER: 34; SUSTAIN-6: 15; EXSCEL: 26"""
extraction,EXT-03-6123a5b6bcd3,ok,3,34.0
extraction,EXT-03-687a1bdc2d26,ok,1,null
extraction,EXT-03-687a1bdc2d26,ok,2,null
extraction,EXT-03-687a1bdc2d26,ok,3,null
extraction,EXT-03-6f31e497f313,ok,1,"""empagliflozin; liraglutide; semaglutide"""
extraction,EXT-03-6f31e497f313,ok,2,"""empagliflozin; liraglutide; semaglutide"""
extraction,EXT-03-6f31e497f313,ok,3,"""empagliflozin; liraglutide; semaglutide"""
extraction,EXT-03-74aaf5f1d00a,ok,1,null
extraction,EXT-03-74aaf5f1d00a,ok,2,null
extraction,EXT-03-74aaf5f1d00a,ok,3,null
extraction,EXT-03-75a97af99a58,ok,1,32152.0
extraction,EXT-03-75a97af99a58,ok,2,32152.0
extraction,EXT-03-75a97af99a58,ok,3,32152.0
extraction,EXT-03-7da72ad6c81a,ok,1,176.0
extraction,EXT-03-7da72ad6c81a,ok,2,176.0
extraction,EXT-03-7da72ad6c81a,ok,3,176.0
extraction,EXT-03-905c9db636a2,ok,1,null
extraction,EXT-03-905c9db636a2,ok,2,null
extraction,EXT-03-905c9db636a2,ok,3,null
extraction,EXT-03-9212eda1b6ab,ok,1,85143.0
extraction,EXT-03-9212eda1b6ab,ok,2,85143.0
extraction,EXT-03-9212eda1b6ab,ok,3,85143.0
extraction,EXT-03-952a7220fb78,ok,1,1.325
extraction,EXT-03-952a7220fb78,ok,2,1.325
extraction,EXT-03-952a7220fb78,ok,3,1.325
extraction,EXT-03-996328e92301,ok,1,null
extraction,EXT-03-996328e92301,ok,2,null
extraction,EXT-03-996328e92301,ok,3,null
extraction,EXT-03-a24f3b902011,ok,1,null
extraction,EXT-03-a24f3b902011,ok,2,null
extraction,EXT-03-a24f3b902011,ok,3,null
extraction,EXT-03-a2ad92ccfd2d,ok,1,null
extraction,EXT-03-a2ad92ccfd2d,ok,2,null
extraction,EXT-03-a2ad92ccfd2d,ok,3,null
extraction,EXT-03-a966c137afcc,ok,1,null
extraction,EXT-03-a966c137afcc,ok,2,1.5
extraction,EXT-03-a966c137afcc,ok,3,null
extraction,EXT-03-b12e96d27575,ok,1,null
extraction,EXT-03-b12e96d27575,ok,2,null
extraction,EXT-03-b12e96d27575,ok,3,null
extraction,EXT-03-b8546f9becfc,ok,1,0.23
extraction,EXT-03-b8546f9becfc,ok,2,0.23
extraction,EXT-03-b8546f9becfc,ok,3,0.23
extraction,EXT-03-bc690ed51bd1,ok,1,3.96
extraction,EXT-03-bc690ed51bd1,ok,2,3.96
extraction,EXT-03-bc690ed51bd1,ok,3,3.96
extraction,EXT-03-c19c7dbae355,ok,1,null
extraction,EXT-03-c19c7dbae355,ok,2,null
extraction,EXT-03-c19c7dbae355,ok,3,null
extraction,EXT-03-c1e9749d1431,ok,1,1.08
extraction,EXT-03-c1e9749d1431,ok,2,1.08
extraction,EXT-03-c1e9749d1431,ok,3,1.08
extraction,EXT-03-c698d92d6890,ok,1,5.0
extraction,EXT-03-c698d92d6890,ok,2,5.0
extraction,EXT-03-c698d92d6890,ok,3,5.0
extraction,EXT-03-d347430ed50e,ok,1,"""United States"""
extraction,EXT-03-d347430ed50e,ok,2,null
extraction,EXT-03-d347430ed50e,ok,3,null
extraction,EXT-03-d361f499e4a9,ok,1,"""0.46–1.00"""
extraction,EXT-03-d361f499e4a9,ok,2,"""0.46-1.00"""
extraction,EXT-03-d361f499e4a9,ok,3,"""0.46-1.00"""
extraction,EXT-03-d71666b67610,ok,1,0.94
extraction,EXT-03-d71666b67610,ok,2,0.94
extraction,EXT-03-d71666b67610,ok,3,0.94
extraction,EXT-03-d93cbeb3ad18,ok,1,null
extraction,EXT-03-d93cbeb3ad18,ok,2,null
extraction,EXT-03-d93cbeb3ad18,ok,3,null
extraction,EXT-03-e0b6682b4065,ok,1,null
extraction,EXT-03-e0b6682b4065,ok,2,null
extraction,EXT-03-e0b6682b4065,ok,3,null
extraction,EXT-03-e76d263258dd,ok,1,null
extraction,EXT-03-e76d263258dd,ok,2,null
extraction,EXT-03-e76d263258dd,ok,3,null
extraction,EXT-03-e85051d5d730,ok,1,"""Post hoc pooled analysis of randomized controlled trials"""
extraction,EXT-03-e85051d5d730,ok,2,"""Post hoc pooled analysis"""
extraction,EXT-03-e85051d5d730,ok,3,"""Post hoc pooled (exploratory) analysis of randomized controlled trials"""
extraction,EXT-03-e92cb1d6a948,ok,1,"""3.8 and 2.1"""
extraction,EXT-03-e92cb1d6a948,ok,2,"""3.8 and 2.1"""
extraction,EXT-03-e92cb1d6a948,ok,3,"""3.8 and 2.1"""
extraction,EXT-03-e994df94c0e6,ok,1,"""Retrospective observational cohort study (new-user comparative cohort)"""
extraction,EXT-03-e994df94c0e6,ok,2,"""Observational retrospective new-user cohort study (comparative cohort)"""
extraction,EXT-03-e994df94c0e6,ok,3,"""Retrospective observational cohort study (new-user comparative cohort)"""
extraction,EXT-03-f8eead658f33,ok,1,null
extraction,EXT-03-f8eead658f33,ok,2,null
extraction,EXT-03-f8eead658f33,ok,3,null
extraction,EXT-03-fa3a129f572b,ok,1,"""0.46-5.38 years"""
extraction,EXT-03-fa3a129f572b,ok,2,"""0.46-5.38"""
extraction,EXT-03-fa3a129f572b,ok,3,"""0.46-5.38"""
extraction,EXT-04-08fb77f68ac9,ok,1,"""Retrospective diagnostic accuracy / model development and validation study"""
extraction,EXT-04-08fb77f68ac9,ok,2,"""Retrospective diagnostic accuracy study (development and validation of a deep learning model)"""
extraction,EXT-04-08fb77f68ac9,ok,3,"""Retrospective diagnostic accuracy study (development and validation of a convolutional neural network)"""
extraction,EXT-04-0927c242c615,ok,1,null
extraction,EXT-04-0927c242c615,ok,2,null
extraction,EXT-04-0927c242c615,ok,3,null
extraction,EXT-04-09d0594e9d04,ok,1,"""Diagnostic accuracy study (AI model development and validation)"""
extraction,EXT-04-09d0594e9d04,ok,2,"""Model development and validation (diagnostic accuracy study)"""
extraction,EXT-04-09d0594e9d04,ok,3,"""Diagnostic accuracy study (AI model development and validation)"""
extraction,EXT-04-152ad96fc064,ok,1,"""0.980, 0.970, 0.999"""
extraction,EXT-04-152ad96fc064,ok,2,"""0.980, 0.970, 0.999"""
extraction,EXT-04-152ad96fc064,ok,3,"""0.980%, 0.970%, 0.999%"""
extraction,EXT-04-2c76d2e8b830,ok,1,"""0.998, 0.994, 0.986, 0.970"""
extraction,EXT-04-2c76d2e8b830,ok,2,0.998
extraction,EXT-04-2c76d2e8b830,ok,3,"""0.998; 0.994; 0.986; 0.970"""
extraction,EXT-04-310eeddfd082,ok,1,"""Convolutional neural networks (CNNs); specific architectures reported include DenseNet201, NASNetLarge, MobileNetV2 (trained eight pretrained CNNs)"""
extraction,EXT-04-310eeddfd082,ok,2,"""Convolutional neural networks (CNNs); pretrained CNN architectures including DenseNet201, NASNetLarge, MobileNetV2"""
extraction,EXT-04-310eeddfd082,ok,3,"""Convolutional neural networks (CNNs); specific architectures: DenseNet201, NASNetLarge, MobileNetV2"""
extraction,EXT-04-323adbfdb612,ok,1,null
extraction,EXT-04-323adbfdb612,ok,2,null
extraction,EXT-04-323adbfdb612,ok,3,null
extraction,EXT-04-39f3d9934a7c,ok,1,"""cough sound analysis (audio/acoustic analysis)"""
extraction,EXT-04-39f3d9934a7c,ok,2,"""cough sound (audio/acoustic) analysis"""
extraction,EXT-04-39f3d9934a7c,ok,3,null
extraction,EXT-04-3d418d77d008,ok,1,"""Diagnostic accuracy study (retrospective development and validation of a deep learning model)"""
extraction,EXT-04-3d418d77d008,ok,2,"""Retrospective diagnostic accuracy study (development and validation of a deep learning model)"""
extraction,EXT-04-3d418d77d008,ok,3,"""Diagnostic accuracy study (development and validation of a deep learning model)"""
extraction,EXT-04-46e3ad3d3b31,ok,1,"""Geometry-based Variational Autoencoder (VAE)"""
extraction,EXT-04-46e3ad3d3b31,ok,2,"""geometry-based variational autoencoder (VAE)"""
extraction,EXT-04-46e3ad3d3b31,ok,3,"""geometry-based variational autoencoder (VAE)"""
extraction,EXT-04-49a224d22bc8,ok,1,"""Development, training and validation of a convolutional neural network (AI diagnostic accuracy study)"""
extraction,EXT-04-49a224d22bc8,ok,2,"""Development, training and validation of a convolutional neural network (CNN)"""
extraction,EXT-04-49a224d22bc8,ok,3,"""Diagnostic accuracy study (development and validation of a convolutional neural network)"""
extraction,EXT-04-5bd55c2db886,ok,1,null
extraction,EXT-04-5bd55c2db886,ok,2,null
extraction,EXT-04-5bd55c2db886,ok,3,null
extraction,EXT-04-5e75890e4f22,ok,1,null
extraction,EXT-04-5e75890e4f22,ok,2,null
extraction,EXT-04-5e75890e4f22,ok,3,null
extraction,EXT-04-74e692ba4583,ok,1,"""Computational (machine learning) model development and validation study"""
extraction,EXT-04-74e692ba4583,ok,2,"""Experimental computational study (development and evaluation of a hybrid CNN-PSO model)"""
extraction,EXT-04-74e692ba4583,ok,3,"""Methodological/experimental study (algorithm development and evaluation using retrospective benchmark datasets)"""
extraction,EXT-04-75c7b4e5ad53,ok,1,0.99
extraction,EXT-04-75c7b4e5ad53,ok,2,0.99
extraction,EXT-04-75c7b4e5ad53,ok,3,0.99
extraction,EXT-04-797362e3c264,ok,1,"""0.899-0.955"""
extraction,EXT-04-797362e3c264,ok,2,"""0.899 to 0.955"""
extraction,EXT-04-797362e3c264,ok,3,"""0.899 to 0.955"""
extraction,EXT-04-8017700eb531,ok,1,"""Development and validation study of a deep learning-based label-free cell classification (diagnostic accuracy / method development study)"""
extraction,EXT-04-8017700eb531,ok,2,"""Diagnostic accuracy study (method development and validation)"""
extraction,EXT-04-8017700eb531,ok,3,"""Methods development and experimental validation (diagnostic/accuracy study)"""
extraction,EXT-04-8aefa4c7146a,ok,1,null
extraction,EXT-04-8aefa4c7146a,ok,2,null
extraction,EXT-04-8aefa4c7146a,ok,3,null
extraction,EXT-04-998a3ac8cef0,ok,1,"""Retrospective diagnostic accuracy study (machine learning model development and validation)"""
extraction,EXT-04-998a3ac8cef0,ok,2,"""Retrospective diagnostic accuracy study"""
extraction,EXT-04-998a3ac8cef0,ok,3,"""Retrospective diagnostic accuracy study"""
extraction,EXT-04-9b9d5e6abd7f,ok,1,null
extraction,EXT-04-9b9d5e6abd7f,ok,2,null
extraction,EXT-04-9b9d5e6abd7f,ok,3,null
extraction,EXT-04-a22d04483be3,ok,1,null
extraction,EXT-04-a22d04483be3,ok,2,null
extraction,EXT-04-a22d04483be3,ok,3,null
extraction,EXT-04-a53a27c3a390,ok,1,null
extraction,EXT-04-a53a27c3a390,ok,2,null
extraction,EXT-04-a53a27c3a390,ok,3,null
extraction,EXT-04-a7e85f15d5de,ok,1,null
extraction,EXT-04-a7e85f15d5de,ok,2,null
extraction,EXT-04-a7e85f15d5de,ok,3,null
extraction,EXT-04-b481b5181859,ok,1,null
extraction,EXT-04-b481b5181859,ok,2,null
extraction,EXT-04-b481b5181859,ok,3,null
extraction,EXT-04-b4f9ff10b33a,ok,1,null
extraction,EXT-04-b4f9ff10b33a,ok,2,null
extraction,EXT-04-b4f9ff10b33a,ok,3,null
extraction,EXT-04-b6ad8c86d58f,ok,1,null
extraction,EXT-04-b6ad8c86d58f,ok,2,null
extraction,EXT-04-b6ad8c86d58f,ok,3,"""above 0.94"""
extraction,EXT-04-b6fb0a4f1e3a,ok,1,0.99
extraction,EXT-04-b6fb0a4f1e3a,ok,2,"""0.99, 0.99, 0.955"""
extraction,EXT-04-b6fb0a4f1e3a,ok,3,0.99
extraction,EXT-04-b9613c15090e,ok,1,"""98.6%, 98.6%, 99.4%"""
extraction,EXT-04-b9613c15090e,ok,2,"""98.6, 98.6, 99.4"""
extraction,EXT-04-b9613c15090e,ok,3,"""98.6, 98.6, 99.4"""
extraction,EXT-04-ce324f7330ec,ok,1,null
extraction,EXT-04-ce324f7330ec,ok,2,null
extraction,EXT-04-ce324f7330ec,ok,3,null
extraction,EXT-04-d065628e8133,ok,1,"""Segmentation and classification (differentiation of malignant vs benign pleural effusion using CT images)"""
extraction,EXT-04-d065628e8133,ok,2,"""Segmentation and binary classification (differentiation of malignant vs benign pleural effusion)"""
extraction,EXT-04-d065628e8133,ok,3,"""Segmentation and classification (differentiation of benign vs malignant pleural effusion)"""
extraction,EXT-04-d43c2d3b09bf,ok,1,"""Development and validation of a diagnostic machine learning model (diagnostic accuracy study)"""
extraction,EXT-04-d43c2d3b09bf,ok,2,"""Diagnostic accuracy study (machine learning model development and validation)"""
extraction,EXT-04-d43c2d3b09bf,ok,3,"""Diagnostic accuracy study (model development and validation)"""
extraction,EXT-04-d5dcf9052ad5,ok,1,"""Pap-stained cervical cytology images (Pap smear and liquid-based cytology; single-cell and whole-slide microscopy images)"""
extraction,EXT-04-d5dcf9052ad5,ok,2,"""Pap smear (Pap-stained cytology) and Liquid-Based Cytology (LBC) images (single-cell and whole-slide cytology images)"""
extraction,EXT-04-d5dcf9052ad5,ok,3,"""Pap smear (Pap-stained cervical cytology) images"""
extraction,EXT-04-e1ab37341e56,ok,1,0.957
extraction,EXT-04-e1ab37341e56,ok,2,0.957
extraction,EXT-04-e1ab37341e56,ok,3,0.957
extraction,EXT-04-e5695d5ff84b,ok,1,"""0.89-0.96"""
extraction,EXT-04-e5695d5ff84b,ok,2,"""0.89-0.96"""
extraction,EXT-04-e5695d5ff84b,ok,3,"""0.89-0.96"""
extraction,EXT-04-e57014208fe7,ok,1,null
extraction,EXT-04-e57014208fe7,ok,2,null
extraction,EXT-04-e57014208fe7,ok,3,null
extraction,EXT-04-e950b319e821,ok,1,"""Diagnostic accuracy study (development of a deep learning model for tumor detection/classification)"""
extraction,EXT-04-e950b319e821,ok,2,"""Diagnostic accuracy study (machine learning model development and evaluation using a publicly available MRI dataset)"""
extraction,EXT-04-e950b319e821,ok,3,"""Diagnostic accuracy study (algorithm development and validation)"""
extraction,EXT-04-f3f150bd4d8e,ok,1,"""Pulmonary function tests (PFTs)"""
extraction,EXT-04-f3f150bd4d8e,ok,2,null
extraction,EXT-04-f3f150bd4d8e,ok,3,null
extraction,EXT-04-f9c32ee363c5,ok,1,"""Diagnostic accuracy study (machine learning model development and internal validation)"""
extraction,EXT-04-f9c32ee363c5,ok,2,"""Diagnostic accuracy study (development/validation of a machine-learning diagnostic test)"""
extraction,EXT-04-f9c32ee363c5,ok,3,"""Diagnostic accuracy study (machine learning model development and validation)"""
extraction,EXT-05-02b9ad7f99ec,ok,1,null
extraction,EXT-05-02b9ad7f99ec,ok,2,"""Literature review"""
extraction,EXT-05-02b9ad7f99ec,ok,3,null
extraction,EXT-05-18ec989334c2,ok,1,null
extraction,EXT-05-18ec989334c2,ok,2,null
extraction,EXT-05-18ec989334c2,ok,3,null
extraction,EXT-05-1f69a3fc7676,ok,1,"""Enrollment; Attendance; Test scores (learning)"""
extraction,EXT-05-1f69a3fc7676,ok,2,"""Enrollment; Attendance; Test scores (learning outcomes)"""
extraction,EXT-05-1f69a3fc7676,ok,3,"""Enrollment; Attendance; Test scores (learning)"""
extraction,EXT-05-2396170d23fc,ok,1,3360.0
extraction,EXT-05-2396170d23fc,ok,2,3360.0
extraction,EXT-05-2396170d23fc,ok,3,3360.0
extraction,EXT-05-244fbbc6839c,ok,1,"""Samata intervention"""
extraction,EXT-05-244fbbc6839c,ok,2,"""Samata intervention"""
extraction,EXT-05-244fbbc6839c,ok,3,"""Samata intervention"""
extraction,EXT-05-441c3deeedc7,ok,1,"""Acao Jovem"""
extraction,EXT-05-441c3deeedc7,ok,2,"""Acao Jovem"""
extraction,EXT-05-441c3deeedc7,ok,3,"""Ação Jovem (Acao Jovem)"""
extraction,EXT-05-4dbf23906104,ok,1,5.5
extraction,EXT-05-4dbf23906104,ok,2,5.5
extraction,EXT-05-4dbf23906104,ok,3,5.5
extraction,EXT-05-5820ab3be0b8,ok,1,"""Tekopor (conditional cash transfer program in Paraguay)"""
extraction,EXT-05-5820ab3be0b8,ok,2,"""Tekopor (Tekoporã / Tekopora)"""
extraction,EXT-05-5820ab3be0b8,ok,3,"""Tekopor"""
extraction,EXT-05-68430b2e7c32,ok,1,1481.0
extraction,EXT-05-68430b2e7c32,ok,2,1481.0
extraction,EXT-05-68430b2e7c32,ok,3,1481.0
extraction,EXT-05-694aebc6fb78,ok,1,35.0
extraction,EXT-05-694aebc6fb78,ok,2,35.0
extraction,EXT-05-694aebc6fb78,ok,3,35.0
extraction,EXT-05-6d017cb0d2f3,ok,1,"""Quasi-experimental (observational) study exploiting regional variation in program take-up across municipalities"""
extraction,EXT-05-6d017cb0d2f3,ok,2,"""Quasi-experimental (policy evaluation exploiting regional variation / natural experiment)"""
extraction,EXT-05-6d017cb0d2f3,ok,3,"""Quasi-experimental study (observational, exploiting regional variation in program take-up across municipalities)"""
extraction,EXT-05-6e3e7f2a2f10,ok,1,0.34
extraction,EXT-05-6e3e7f2a2f10,ok,2,0.34
extraction,EXT-05-6e3e7f2a2f10,ok,3,0.34
extraction,EXT-05-6fdb150ab941,ok,1,null
extraction,EXT-05-6fdb150ab941,ok,2,null
extraction,EXT-05-6fdb150ab941,ok,3,null
extraction,EXT-05-7b5c8eed08ac,ok,1,"""43%"""
extraction,EXT-05-7b5c8eed08ac,ok,2,43.0
extraction,EXT-05-7b5c8eed08ac,ok,3,43.0
extraction,EXT-05-7e15f192e386,ok,1,null
extraction,EXT-05-7e15f192e386,ok,2,null
extraction,EXT-05-7e15f192e386,ok,3,null
extraction,EXT-05-8831ecc61e3e,ok,1,"""Quasi-experimental (instrumental variables)"""
extraction,EXT-05-8831ecc61e3e,ok,2,"""Quasi-experimental (instrumental variables) analysis of observational household data"""
extraction,EXT-05-8831ecc61e3e,ok,3,"""Observational study (quasi-experimental analysis using instrumental variables)"""
extraction,EXT-05-a87e338997f9,ok,1,"""Field experiment (randomized controlled trial)"""
