sample_id,case_id,field_name,field_class,declared_type,selection_probability
EXT-02-c72f40e8b6df,2,effect_size,potentially_synthesis_critical,numeric,0.06369426751592357
EXT-02-9821b0278546,2,ci_lower,potentially_synthesis_critical,numeric,0.06369426751592357
EXT-02-80c57fb772f7,2,ci_lower,potentially_synthesis_critical,numeric,0.06369426751592357
EXT-02-2ec0d1ff2ee0,2,effect_size,potentially_synthesis_critical,numeric,0.06369426751592357
EXT-02-627ec7e54ea0,2,effect_size,potentially_synthesis_critical,numeric,0.06369426751592357
EXT-02-e9a99d543316,2,ci_upper,potentially_synthesis_critical,numeric,0.06369426751592357
EXT-02-fe951dbb9109,2,ci_lower,potentially_synthesis_critical,numeric,0.06369426751592357
EXT-02-3323c83d9bb4,2,ci_upper,potentially_synthesis_critical,numeric,0.06369426751592357
EXT-02-0e5db8c82011,2,ci_upper,potentially_synthesis_critical,numeric,0.06369426751592357
EXT-03-bc28bdfd6187,3,study_design,categorical,categorical,0.004001600640256103
EXT-03-d67822e58f77,3,study_design,categorical,categorical,0.004001600640256103
EXT-03-295d4df77287,3,outcome,categorical,categorical,0.004001600640256103
EXT-03-645cfe977fd9,3,country,categorical,categorical,0.004001600640256103
EXT-03-e85051d5d730,3,study_design,categorical,categorical,0.004001600640256103
EXT-03-3815dc5193a4,3,study_design,categorical,categorical,0.004001600640256103
EXT-03-09f77f3db035,3,drug,categorical,categorical,0.004001600640256103
EXT-03-6e0a2418d8d9,3,outcome,categorical,categorical,0.004001600640256103
EXT-03-1571c555476c,3,outcome,categorical,categorical,0.004001600640256103
EXT-03-f2885f3fdd55,3,outcome,categorical,categorical,0.004001600640256103
EXT-03-6469f793925c,3,outcome,categorical,categorical,0.4166666666666667
EXT-03-0395076d83df,3,drug,categorical,categorical,0.4166666666666667
EXT-03-a247207faf6e,3,outcome,categorical,categorical,0.4166666666666667
EXT-03-e994df94c0e6,3,study_design,categorical,categorical,0.4166666666666667
EXT-03-684f8675e98e,3,study_design,categorical,categorical,0.4166666666666667
EXT-03-07d596f5d843,3,outcome,categorical,categorical,0.4166666666666667
EXT-03-1d6a35304333,3,outcome,categorical,categorical,0.4166666666666667
EXT-03-273234bab299,3,outcome,categorical,categorical,0.4166666666666667
EXT-03-6cb4ab172fb8,3,outcome,categorical,categorical,0.4166666666666667
EXT-03-5e35b52b4ec5,3,study_design,categorical,categorical,0.4166666666666667
EXT-03-84a873cd6a73,3,study_design,categorical,categorical,1.0
EXT-03-dc2d0c7f9803,3,drug,categorical,categorical,1.0
EXT-03-3d4ff3ac2077,3,country,categorical,categorical,1.0
EXT-03-6f31e497f313,3,drug,categorical,categorical,1.0
EXT-03-48ab78d9a77e,3,drug,categorical,categorical,1.0
EXT-03-86d0e5166426,3,country,categorical,categorical,1.0
EXT-03-2c463888b2fa,3,drug,categorical,categorical,1.0
EXT-03-0aed91fae3f9,3,drug,categorical,categorical,1.0
EXT-03-fba559d7b933,3,country,categorical,categorical,0.012004801920768308
EXT-03-99d268186ed5,3,country,categorical,categorical,0.012004801920768308
EXT-03-87bc7621460d,3,country,categorical,categorical,0.012004801920768308
EXT-03-d347430ed50e,3,country,categorical,categorical,0.012004801920768308
EXT-03-3340e6122354,3,country,categorical,categorical,0.012004801920768308
EXT-03-e0b6682b4065,3,country,categorical,categorical,0.012004801920768308
EXT-03-b12e96d27575,3,country,categorical,categorical,0.012004801920768308
EXT-03-fb3ac32bf1aa,3,country,categorical,categorical,0.012004801920768308
EXT-03-8b8f2db9beb8,3,country,categorical,categorical,0.012004801920768308
EXT-03-8bf5a22d1f3a,3,country,categorical,categorical,0.012004801920768308
EXT-03-bc690ed51bd1,3,follow_up_years,other_numeric,numeric,0.03546099290780142
EXT-03-e7baff387104,3,follow_up_years,other_numeric,numeric,0.03546099290780142
EXT-03-0ffcb0ef0cdf,3,follow_up_years,other_numeric,numeric,0.03546099290780142
EXT-03-b10de1c1f7ab,3,follow_up_years,other_numeric,numeric,0.03546099290780142
EXT-03-ea19803730cb,3,follow_up_years,other_numeric,numeric,0.03546099290780142
EXT-03-c698d92d6890,3,follow_up_years,other_numeric,numeric,0.03546099290780142
EXT-03-b1516f9a8ff0,3,follow_up_years,other_numeric,numeric,0.03546099290780142
EXT-03-e24f38058d7e,3,follow_up_years,other_numeric,numeric,0.03546099290780142
EXT-03-242c123e6910,3,follow_up_years,other_numeric,numeric,0.03546099290780142
EXT-03-55a60dbb5df2,3,follow_up_years,other_numeric,numeric,0.03546099290780142
EXT-03-1511a97782d0,3,follow_up_years,other_numeric,numeric,0.43478260869565216
EXT-03-848330fd8252,3,follow_up_years,other_numeric,numeric,0.43478260869565216
EXT-03-65fba8ca28ca,3,follow_up_years,other_numeric,numeric,0.43478260869565216
EXT-03-e92cb1d6a948,3,follow_up_years,other_numeric,numeric,0.43478260869565216
EXT-03-d7baa0f5ea47,3,follow_up_years,other_numeric,numeric,0.43478260869565216
EXT-03-a2ad92ccfd2d,3,follow_up_years,other_numeric,numeric,0.43478260869565216
EXT-03-996328e92301,3,follow_up_years,other_numeric,numeric,0.43478260869565216
EXT-03-aeab3405099f,3,follow_up_years,other_numeric,numeric,0.43478260869565216
EXT-03-14098b9e7fbf,3,follow_up_years,other_numeric,numeric,0.43478260869565216
EXT-03-7312e77ef871,3,follow_up_years,other_numeric,numeric,0.43478260869565216
EXT-03-b22d81552d9d,3,follow_up_years,other_numeric,numeric,1.0
EXT-03-a24f3b902011,3,follow_up_years,other_numeric,numeric,1.0
EXT-03-2c9091a76207,3,follow_up_years,other_numeric,numeric,1.0
EXT-03-fa3a129f572b,3,follow_up_years,other_numeric,numeric,1.0
EXT-03-952a7220fb78,3,follow_up_years,other_numeric,numeric,1.0
EXT-03-58d9977210af,3,follow_up_years,other_numeric,numeric,1.0
EXT-03-d361f499e4a9,3,follow_up_years,other_numeric,numeric,1.0
EXT-03-b8546f9becfc,3,follow_up_years,other_numeric,numeric,1.0
EXT-03-957efdc4e352,3,follow_up_years,other_numeric,numeric,1.0
EXT-03-11fcc1740721,3,follow_up_years,other_numeric,numeric,1.0
EXT-03-baf1ae7fae3a,3,follow_up_years,other_numeric,numeric,0.019011406844106463
EXT-03-7de1716c45ca,3,follow_up_years,other_numeric,numeric,0.019011406844106463
EXT-03-13af57ad855b,3,follow_up_years,other_numeric,numeric,0.019011406844106463
EXT-03-905c9db636a2,3,follow_up_years,other_numeric,numeric,0.019011406844106463
EXT-03-ac9939d590f4,3,follow_up_years,other_numeric,numeric,0.019011406844106463
EXT-03-2378a557ef46,3,follow_up_years,other_numeric,numeric,0.019011406844106463
EXT-03-60221cd2694a,3,follow_up_years,other_numeric,numeric,0.019011406844106463
EXT-03-04a54a244522,3,follow_up_years,other_numeric,numeric,0.019011406844106463
EXT-03-948d23884219,3,follow_up_years,other_numeric,numeric,0.019011406844106463
EXT-03-687a1bdc2d26,3,follow_up_years,other_numeric,numeric,0.019011406844106463
EXT-03-3371d815fb4c,3,sample_size,potentially_synthesis_critical,numeric,0.0060901339829476245
EXT-03-388c7a2a05cc,3,ci_upper,potentially_synthesis_critical,numeric,0.0060901339829476245
EXT-03-6115e1583c83,3,hazard_ratio,potentially_synthesis_critical,numeric,0.0060901339829476245
EXT-03-e592d68d7a5d,3,ci_lower,potentially_synthesis_critical,numeric,0.0060901339829476245
EXT-03-d71666b67610,3,ci_upper,potentially_synthesis_critical,numeric,0.0060901339829476245
EXT-03-a0ce31d0050c,3,ci_lower,potentially_synthesis_critical,numeric,0.0060901339829476245
EXT-03-0f172c90a692,3,ci_upper,potentially_synthesis_critical,numeric,0.0060901339829476245
EXT-03-e40bce090ea2,3,sample_size,potentially_synthesis_critical,numeric,0.0060901339829476245
EXT-03-511cc5a928b5,3,ci_lower,potentially_synthesis_critical,numeric,0.0060901339829476245
EXT-03-25e3cd14cd7a,3,ci_upper,potentially_synthesis_critical,numeric,0.0060901339829476245
EXT-03-8b849356bf19,3,sample_size,potentially_synthesis_critical,numeric,0.5263157894736842
EXT-03-84df453b42e7,3,sample_size,potentially_synthesis_critical,numeric,0.5263157894736842
EXT-03-08d0eef7d91a,3,sample_size,potentially_synthesis_critical,numeric,0.5263157894736842
EXT-03-7d049dc728c7,3,hazard_ratio,potentially_synthesis_critical,numeric,0.5263157894736842
EXT-03-38bdeb52138a,3,sample_size,potentially_synthesis_critical,numeric,0.5263157894736842
EXT-03-a23a6f363e03,3,sample_size,potentially_synthesis_critical,numeric,0.5263157894736842
EXT-03-75a97af99a58,3,sample_size,potentially_synthesis_critical,numeric,0.5263157894736842
EXT-03-e3cf9ae32f71,3,sample_size,potentially_synthesis_critical,numeric,0.5263157894736842
EXT-03-1a7c766a7b93,3,sample_size,potentially_synthesis_critical,numeric,0.5263157894736842
EXT-03-9212eda1b6ab,3,sample_size,potentially_synthesis_critical,numeric,0.5263157894736842
EXT-03-a966c137afcc,3,hazard_ratio,potentially_synthesis_critical,numeric,1.0
EXT-03-f8eead658f33,3,sample_size,potentially_synthesis_critical,numeric,0.6666666666666666
EXT-03-e76d263258dd,3,hazard_ratio,potentially_synthesis_critical,numeric,0.6666666666666666
EXT-03-01a9cb7284c9,3,sample_size,potentially_synthesis_critical,numeric,0.6666666666666666
EXT-03-6123a5b6bcd3,3,ci_upper,potentially_synthesis_critical,numeric,0.6666666666666666
EXT-03-74aaf5f1d00a,3,sample_size,potentially_synthesis_critical,numeric,0.6666666666666666
EXT-03-e13cc41a071a,3,hazard_ratio,potentially_synthesis_critical,numeric,0.6666666666666666
EXT-03-597bf1705cf5,3,sample_size,potentially_synthesis_critical,numeric,0.6666666666666666
EXT-03-7da72ad6c81a,3,sample_size,potentially_synthesis_critical,numeric,0.6666666666666666
EXT-03-4556112b615b,3,ci_lower,potentially_synthesis_critical,numeric,0.6666666666666666
EXT-03-6b8e3861b427,3,sample_size,potentially_synthesis_critical,numeric,0.6666666666666666
EXT-03-585c38c94fba,3,hazard_ratio,potentially_synthesis_critical,numeric,0.9090909090909091
EXT-03-bf815637434a,3,ci_lower,potentially_synthesis_critical,numeric,0.9090909090909091
EXT-03-773cb77b1166,3,ci_upper,potentially_synthesis_critical,numeric,0.9090909090909091
EXT-03-2a07e4c0cb0d,3,ci_lower,potentially_synthesis_critical,numeric,0.9090909090909091
EXT-03-dd56ceba3d24,3,hazard_ratio,potentially_synthesis_critical,numeric,0.9090909090909091
EXT-03-f909fd591fef,3,hazard_ratio,potentially_synthesis_critical,numeric,0.9090909090909091
EXT-03-2c8ee064afaa,3,hazard_ratio,potentially_synthesis_critical,numeric,0.9090909090909091
EXT-03-4e9149df7a56,3,hazard_ratio,potentially_synthesis_critical,numeric,0.9090909090909091
EXT-03-416674a813bf,3,hazard_ratio,potentially_synthesis_critical,numeric,0.9090909090909091
EXT-03-c1e9749d1431,3,ci_upper,potentially_synthesis_critical,numeric,0.9090909090909091
EXT-03-d93cbeb3ad18,3,hazard_ratio,potentially_synthesis_critical,numeric,0.0059665871121718375
EXT-03-831283b1c0a7,3,ci_lower,potentially_synthesis_critical,numeric,0.0059665871121718375
EXT-03-e70a84d94a3f,3,ci_lower,potentially_synthesis_critical,numeric,0.0059665871121718375
EXT-03-3dcee191cd01,3,hazard_ratio,potentially_synthesis_critical,numeric,0.0059665871121718375
EXT-03-e97ec928b95f,3,ci_lower,potentially_synthesis_critical,numeric,0.0059665871121718375
EXT-03-61eb807e2b25,3,ci_upper,potentially_synthesis_critical,numeric,0.0059665871121718375
EXT-03-b0b70693df08,3,ci_upper,potentially_synthesis_critical,numeric,0.0059665871121718375
EXT-03-c19c7dbae355,3,ci_lower,potentially_synthesis_critical,numeric,0.0059665871121718375
EXT-03-5e0cca8325eb,3,ci_upper,potentially_synthesis_critical,numeric,0.0059665871121718375
EXT-03-399aec1c34c1,3,ci_lower,potentially_synthesis_critical,numeric,0.0059665871121718375
EXT-04-968d1449ac53,4,study_design,categorical,categorical,0.0012061271257990593
EXT-04-d8984dac21b3,4,imaging_modality,categorical,categorical,0.0012061271257990593
EXT-04-44cd7bd81a75,4,imaging_modality,categorical,categorical,0.0012061271257990593
EXT-04-757a1d2dc53d,4,imaging_modality,categorical,categorical,0.0012061271257990593
EXT-04-46e3ad3d3b31,4,ai_model_type,categorical,categorical,0.0012061271257990593
EXT-04-ecfa3f13175d,4,study_design,categorical,categorical,0.0012061271257990593
EXT-04-d552020099cf,4,ai_model_type,categorical,categorical,0.0012061271257990593
EXT-04-2b623c7c9fd3,4,study_design,categorical,categorical,0.0012061271257990593
EXT-04-310eeddfd082,4,ai_model_type,categorical,categorical,0.0012061271257990593
EXT-04-79863f65efee,4,task,categorical,categorical,0.0012061271257990593
EXT-04-dd082f4506ba,4,study_design,categorical,categorical,0.1724137931034483
EXT-04-82b011e15661,4,study_design,categorical,categorical,0.1724137931034483
EXT-04-d5dcf9052ad5,4,imaging_modality,categorical,categorical,0.1724137931034483
EXT-04-d065628e8133,4,task,categorical,categorical,0.1724137931034483
EXT-04-6829e4672995,4,ai_model_type,categorical,categorical,0.1724137931034483
EXT-04-dddfc69ee433,4,task,categorical,categorical,0.1724137931034483
EXT-04-e0e81e756ba5,4,study_design,categorical,categorical,0.1724137931034483
EXT-04-49a224d22bc8,4,study_design,categorical,categorical,0.1724137931034483
EXT-04-c6a09326b430,4,imaging_modality,categorical,categorical,0.1724137931034483
EXT-04-ae3c12e26242,4,study_design,categorical,categorical,0.1724137931034483
EXT-04-5b4020448f47,4,study_design,categorical,categorical,0.08403361344537816
EXT-04-b6f20dfd08c6,4,study_design,categorical,categorical,0.08403361344537816
EXT-04-b1f231600eb7,4,study_design,categorical,categorical,0.08403361344537816
EXT-04-998a3ac8cef0,4,study_design,categorical,categorical,0.08403361344537816
EXT-04-3d418d77d008,4,study_design,categorical,categorical,0.08403361344537816
EXT-04-570a7a60b4e3,4,study_design,categorical,categorical,0.08403361344537816
EXT-04-08fb77f68ac9,4,study_design,categorical,categorical,0.08403361344537816
EXT-04-f9c32ee363c5,4,study_design,categorical,categorical,0.08403361344537816
EXT-04-931bd5afdc4b,4,study_design,categorical,categorical,0.08403361344537816
EXT-04-6e6ef8276fba,4,study_design,categorical,categorical,0.08403361344537816
EXT-04-4d532c5adda0,4,ai_model_type,categorical,categorical,1.0
EXT-04-39f3d9934a7c,4,imaging_modality,categorical,categorical,1.0
EXT-04-323adbfdb612,4,imaging_modality,categorical,categorical,1.0
EXT-04-b4f9ff10b33a,4,imaging_modality,categorical,categorical,1.0
EXT-04-e57014208fe7,4,imaging_modality,categorical,categorical,1.0
EXT-04-1d99bd1fcab1,4,imaging_modality,categorical,categorical,1.0
EXT-04-a22d04483be3,4,imaging_modality,categorical,categorical,1.0
EXT-04-f3f150bd4d8e,4,imaging_modality,categorical,categorical,1.0
EXT-04-c53e63fb243c,4,imaging_modality,categorical,categorical,1.0
EXT-04-c35977eedc13,4,study_design,categorical,categorical,0.007698229407236336
EXT-04-d43c2d3b09bf,4,study_design,categorical,categorical,0.007698229407236336
EXT-04-6330234820c4,4,study_design,categorical,categorical,0.007698229407236336
EXT-04-09d0594e9d04,4,study_design,categorical,categorical,0.007698229407236336
EXT-04-e950b319e821,4,study_design,categorical,categorical,0.007698229407236336
EXT-04-e1d709cff760,4,study_design,categorical,categorical,0.007698229407236336
EXT-04-74e692ba4583,4,study_design,categorical,categorical,0.007698229407236336
EXT-04-4df228fe6eb3,4,study_design,categorical,categorical,0.007698229407236336
EXT-04-0ff71d3bf7e0,4,study_design,categorical,categorical,0.007698229407236336
EXT-04-8017700eb531,4,study_design,categorical,categorical,0.007698229407236336
EXT-04-acb6dae24a6c,4,sensitivity,potentially_synthesis_critical,numeric,0.002254283137962128
EXT-04-5dddceedd63e,4,sample_size,potentially_synthesis_critical,numeric,0.002254283137962128
EXT-04-c67fe025ad71,4,sample_size,potentially_synthesis_critical,numeric,0.002254283137962128
EXT-04-a125df42d0e1,4,sample_size,potentially_synthesis_critical,numeric,0.002254283137962128
EXT-04-fee9c5e667fd,4,sample_size,potentially_synthesis_critical,numeric,0.002254283137962128
EXT-04-81c2b05ac8cd,4,specificity,potentially_synthesis_critical,numeric,0.002254283137962128
EXT-04-75c7b4e5ad53,4,auc,potentially_synthesis_critical,numeric,0.002254283137962128
EXT-04-75796a55df74,4,auc,potentially_synthesis_critical,numeric,0.002254283137962128
EXT-04-1f2eca02cfc9,4,sample_size,potentially_synthesis_critical,numeric,0.002254283137962128
EXT-04-ecd2a398a99c,4,specificity,potentially_synthesis_critical,numeric,0.002254283137962128
EXT-04-756b98f937cd,4,auc,potentially_synthesis_critical,numeric,0.03968253968253968
EXT-04-e1ab37341e56,4,auc,potentially_synthesis_critical,numeric,0.03968253968253968
EXT-04-4aefca325252,4,auc,potentially_synthesis_critical,numeric,0.03968253968253968
EXT-04-4c9771372cda,4,auc,potentially_synthesis_critical,numeric,0.03968253968253968
EXT-04-afea95721746,4,sample_size,potentially_synthesis_critical,numeric,0.03968253968253968
EXT-04-b9613c15090e,4,auc,potentially_synthesis_critical,numeric,0.03968253968253968
EXT-04-47f20670b2ed,4,sensitivity,potentially_synthesis_critical,numeric,0.03968253968253968
EXT-04-d92f9e6e7bb5,4,specificity,potentially_synthesis_critical,numeric,0.03968253968253968
EXT-04-23e86adcc371,4,auc,potentially_synthesis_critical,numeric,0.03968253968253968
EXT-04-2c76d2e8b830,4,auc,potentially_synthesis_critical,numeric,0.03968253968253968
EXT-04-474db75c2055,4,sensitivity,potentially_synthesis_critical,numeric,0.38461538461538464
EXT-04-b2165454f1b6,4,auc,potentially_synthesis_critical,numeric,0.38461538461538464
EXT-04-152ad96fc064,4,auc,potentially_synthesis_critical,numeric,0.38461538461538464
EXT-04-797362e3c264,4,auc,potentially_synthesis_critical,numeric,0.38461538461538464
EXT-04-5000e6324ba0,4,sensitivity,potentially_synthesis_critical,numeric,0.38461538461538464
EXT-04-b6fb0a4f1e3a,4,auc,potentially_synthesis_critical,numeric,0.38461538461538464
EXT-04-22d29227c921,4,sensitivity,potentially_synthesis_critical,numeric,0.38461538461538464
EXT-04-f6e7413bc09c,4,auc,potentially_synthesis_critical,numeric,0.38461538461538464
EXT-04-e5695d5ff84b,4,auc,potentially_synthesis_critical,numeric,0.38461538461538464
EXT-04-b6ad8c86d58f,4,specificity,potentially_synthesis_critical,numeric,0.38461538461538464
EXT-04-2e049737f5f5,4,specificity,potentially_synthesis_critical,numeric,1.0
EXT-04-21b88f92cd4c,4,auc,potentially_synthesis_critical,numeric,1.0
EXT-04-8aefa4c7146a,4,auc,potentially_synthesis_critical,numeric,1.0
EXT-04-9b9d5e6abd7f,4,specificity,potentially_synthesis_critical,numeric,1.0
EXT-04-a7e85f15d5de,4,specificity,potentially_synthesis_critical,numeric,1.0
EXT-04-5bd55c2db886,4,specificity,potentially_synthesis_critical,numeric,1.0
EXT-04-ce324f7330ec,4,auc,potentially_synthesis_critical,numeric,1.0
EXT-04-17e9e1a0cd19,4,specificity,potentially_synthesis_critical,numeric,1.0
EXT-04-5e75890e4f22,4,sample_size,potentially_synthesis_critical,numeric,0.0019786307874950534
EXT-04-ed1021029710,4,sensitivity,potentially_synthesis_critical,numeric,0.0019786307874950534
EXT-04-dc6c2ce84cd8,4,sample_size,potentially_synthesis_critical,numeric,0.0019786307874950534
EXT-04-a53a27c3a390,4,sensitivity,potentially_synthesis_critical,numeric,0.0019786307874950534
EXT-04-b481b5181859,4,sensitivity,potentially_synthesis_critical,numeric,0.0019786307874950534
EXT-04-0927c242c615,4,sample_size,potentially_synthesis_critical,numeric,0.0019786307874950534
EXT-04-5b5c095d9f12,4,sensitivity,potentially_synthesis_critical,numeric,0.0019786307874950534
EXT-04-062eceedaa23,4,specificity,potentially_synthesis_critical,numeric,0.0019786307874950534
EXT-04-a77ff62fc493,4,sensitivity,potentially_synthesis_critical,numeric,0.0019786307874950534
EXT-04-5e2796cf2941,4,sample_size,potentially_synthesis_critical,numeric,0.0019786307874950534
EXT-05-a87e338997f9,5,study_design,categorical,categorical,0.005733944954128441
EXT-05-244fbbc6839c,5,programme,categorical,categorical,0.005733944954128441
EXT-05-0c013bc06fc9,5,country,categorical,categorical,0.005733944954128441
EXT-05-ec3b1f39db3c,5,country,categorical,categorical,0.005733944954128441
EXT-05-2cb7bcf1b967,5,programme,categorical,categorical,0.005733944954128441
EXT-05-87898bd7baf7,5,country,categorical,categorical,0.005733944954128441
EXT-05-441c3deeedc7,5,programme,categorical,categorical,0.005733944954128441
EXT-05-897a44fc88ef,5,outcome,categorical,categorical,0.005733944954128441
EXT-05-948db1d57518,5,programme,categorical,categorical,0.005733944954128441
EXT-05-4fcbf8924ffb,5,programme,categorical,categorical,0.005733944954128441
EXT-05-39eaadc348d4,5,country,categorical,categorical,1.0
EXT-05-16aad6137b53,5,study_design,categorical,categorical,1.0
EXT-05-5820ab3be0b8,5,programme,categorical,categorical,1.0
EXT-05-3a57f4858224,5,country,categorical,categorical,1.0
EXT-05-f58b6a2574d7,5,programme,categorical,categorical,1.0
EXT-05-8b0936d67cf6,5,study_design,categorical,categorical,1.0
EXT-05-1f69a3fc7676,5,outcome,categorical,categorical,1.0
EXT-05-44e35db30349,5,programme,categorical,categorical,1.0
